Unnamed: 0,prefix_v4,status,status_name,prefix_v6,is_anchor,last_connected,tags,type,address_v6,latitude,longitude,id,address_v4,country_code,is_public,asn_v4,asn_v6,status_since,first_connected,total_uptime,cc
0,,3.0,Abandoned,,False,1375264491.0,"['home', 'nat', 'system-v1', 'system-firewall-problem-suspected', 'system-ipv4-rfc1918']",Probe,,-1.2795,36.8195,256.0,,KE,False,,,1375264491.0,1329315014.0,34500465.0,KE
1,,3.0,Abandoned,,False,1329638942.0,"['office', 'no-nat', 'system-v1']",Probe,,-1.2785,36.8205,469.0,,KE,False,,,1329638942.0,1292461636.0,11627734.0,KE
2,102.167.0.0/16,1.0,Connected,,False,1600959486.0,"['system-v2', 'system-ipv4-capable', 'probe-v2', 'system-ipv4-works', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly', 'system-ipv4-rfc1918', 'nat', 'lte', 'mobile', '4g']",Probe,,-1.1985,36.6405,4078.0,102.167.94.187,KE,True,12455.0,,1600953782.0,1375454984.0,173923163.0,KE
3,196.6.220.0/24,1.0,Connected,2001:43f8:7b0::/48,True,1600959486.0,"['system-anchor', 'system-ipv4-capable', 'system-ipv6-capable', 'system-v2-soekris', 'system-ipv4-stable-30d', 'system-ipv6-stable-1d', 'system-ipv4-stable-90d', 'system-ipv4-works', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly', 'system-ipv6-stable-30d', 'system-ipv6-doesnt-work', 'system-ipv4-stable-1d']",Probe,2001:43f8:7b0:70::2,-1.2915,36.8185,6233.0,196.6.220.130,KE,True,37578.0,37578.0,1597928782.0,1478856045.0,119245615.0,KE
4,,0.0,Never Connected,,False,,['system-v3'],Probe,,-0.4015,36.9615,11183.0,,KE,True,,,,,0.0,KE
5,,3.0,Abandoned,,False,1406380898.0,"['cable', 'system-v3', 'system-ipv4-rfc1918']",Probe,,-1.2885,36.8195,11248.0,,KE,True,,,1406380898.0,1399215605.0,6474028.0,KE
6,80.240.192.0/20,3.0,Abandoned,,False,1461103370.0,"['nat', 'system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918']",Probe,,-1.2915,36.8185,11333.0,80.240.194.133,KE,True,30844.0,,1461103370.0,1375264508.0,57689822.0,KE
7,,0.0,Never Connected,,False,,['system-v3'],Probe,,-3.8505,38.7475,11514.0,,KE,True,,,,,0.0,KE
8,,0.0,Never Connected,,False,,['system-v3'],Probe,,-0.0225,37.9105,11771.0,,KE,True,,,,,0.0,KE
9,196.13.191.0/24,3.0,Abandoned,,False,1436965615.0,"['datacentre', 'ixp', 'nat', 'system-v3', 'system-ipv4-capable']",Probe,,-4.0605,39.6775,12914.0,,KE,False,327740.0,,1436965615.0,1396598736.0,40268620.0,KE
10,197.136.2.0/24,1.0,Connected,2c0f:fe08::/32,False,1600959486.0,"['system-ipv4-stable-1d', 'system-ipv4-stable-30d', 'system-v3', 'system-ipv6-works', 'system-ipv4-capable', 'system-ipv6-capable', 'system-ipv4-stable-90d', 'system-ipv6-stable-1d', 'system-ipv4-works', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly']",Probe,2c0f:fe08:12:2:a2f3:c1ff:fec4:5d8f,-0.1125,34.7475,13100.0,197.136.2.18,KE,True,36914.0,36914.0,1600076292.0,1401435069.0,170928200.0,KE
11,41.89.1.0/24,3.0,Abandoned,,False,1584183674.0,"['system-v3', 'system-ipv4-capable', 'system-flash-drive-filesystem-corrupted']",Probe,,-1.2205,36.8775,13114.0,41.89.1.251,KE,True,36914.0,,1584183674.0,1401356589.0,181441706.0,KE
12,41.80.192.0/20,3.0,Abandoned,,False,1564264267.0,"['home', 'nat', 'system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-flash-drive-filesystem-corrupted']",Probe,,-1.2825,36.8185,13121.0,41.80.203.240,KE,True,33771.0,,1564264267.0,1386654764.0,145064540.0,KE
13,41.204.160.0/24,3.0,Abandoned,2c0f:fe08::/32,False,1570015910.0,"['system-v3', 'system-ipv4-capable', 'system-ipv6-capable', 'system-flash-drive-filesystem-corrupted']",Probe,2c0f:fe08:10:2:a2f3:c1ff:fec4:5a84,-1.2785,36.8175,13218.0,41.204.160.27,KE,True,36914.0,36914.0,1570015910.0,1401358041.0,165421899.0,KE
14,196.207.166.0/23,1.0,Connected,,False,1600959486.0,"['nat', 'system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-ipv4-stable-30d', 'system-ipv4-stable-1d', 'system-ipv4-works', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly']",Probe,,-1.2885,36.8215,13299.0,,KE,False,15399.0,,1600388046.0,1387548554.0,200963444.0,KE
