asn_v4,Abandoned,Connected,Disconnected
766,1.0,,
1273,1.0,,
2018,8.0,3.0,1.0
2470,1.0,1.0,
2561,1.0,,
2609,12.0,2.0,
3208,2.0,2.0,
3215,6.0,3.0,
3333,6.0,,
3491,7.0,3.0,1.0
3741,11.0,4.0,3.0
5438,1.0,,
5580,1.0,,
5713,3.0,,
6083,1.0,,
6453,1.0,,
6713,1.0,,
6830,1.0,,
7420,,1.0,
7489,,1.0,
7922,1.0,,
8094,4.0,,
8346,12.0,5.0,
8452,8.0,2.0,1.0
8513,1.0,,
10474,8.0,2.0,
11259,1.0,,
11845,7.0,3.0,
12455,1.0,1.0,
12556,,2.0,
12684,1.0,,
13335,,1.0,
14988,1.0,3.0,
15022,1.0,1.0,
15399,4.0,2.0,1.0
15706,1.0,,1.0
15808,1.0,,
15964,7.0,4.0,2.0
16058,1.0,,
16276,1.0,,
16509,,1.0,
16637,3.0,,
18931,2.0,,
19711,1.0,,
20294,2.0,,
21042,1.0,1.0,
21174,2.0,,
21351,4.0,2.0,
21491,1.0,,
22355,3.0,1.0,
22690,1.0,,
23889,8.0,2.0,3.0
24691,14.0,2.0,1.0
24757,11.0,3.0,3.0
24835,2.0,1.0,
24863,1.0,,
25139,1.0,,
25250,2.0,,
25543,4.0,,1.0
26130,1.0,,
28683,20.0,2.0,1.0
29032,2.0,1.0,3.0
29465,2.0,,
29544,1.0,,
29571,4.0,,1.0
29614,3.0,,
29975,1.0,,
30619,,1.0,
30844,7.0,3.0,
30969,4.0,,
30982,3.0,,
30983,1.0,1.0,
30988,2.0,,
30990,1.0,,1.0
30992,1.0,,1.0
30997,1.0,1.0,
30999,2.0,1.0,
31245,1.0,,
31856,1.0,,
31960,1.0,,
32437,2.0,1.0,
32653,4.0,1.0,
32860,1.0,,
33567,2.0,,
33762,2.0,,
33763,2.0,1.0,
33771,3.0,1.0,
33772,1.0,,
33788,4.0,2.0,
36692,,1.0,
36866,2.0,1.0,1.0
36867,4.0,,
36868,1.0,1.0,1.0
36874,4.0,5.0,
36877,1.0,,
36884,1.0,,
36890,1.0,,
36902,,1.0,
36903,9.0,2.0,
36907,3.0,,
36909,1.0,1.0,
36912,1.0,,
36914,9.0,3.0,
36924,2.0,1.0,1.0
36928,1.0,,
36930,1.0,,
36932,2.0,,
36934,1.0,,
36937,3.0,1.0,
36939,1.0,,
36947,23.0,,
36953,1.0,,
36955,1.0,,1.0
36958,5.0,,
36961,1.0,,
36965,1.0,,
36972,1.0,,
36982,1.0,1.0,
36986,1.0,,
36992,1.0,,
36994,1.0,,
36996,5.0,,
36997,3.0,,
36998,5.0,,1.0
37002,6.0,10.0,1.0
37004,1.0,,
37006,2.0,,
37008,,1.0,
37009,1.0,1.0,
37010,1.0,,
37020,1.0,,
37034,1.0,,
37037,1.0,,
37043,1.0,,
37045,2.0,,
37053,1.0,,
37054,2.0,3.0,
37057,1.0,,
37061,,1.0,
37063,3.0,,
37074,,1.0,
37084,1.0,1.0,1.0
37090,10.0,3.0,4.0
37094,1.0,,
37098,4.0,,
37100,11.0,3.0,
37101,1.0,,
37105,2.0,1.0,
37123,1.0,,
37126,,1.0,
37136,1.0,1.0,
37139,1.0,,
37153,1.0,1.0,
37154,2.0,,
37168,1.0,,
37172,,,1.0
37182,2.0,1.0,
37183,2.0,,
37184,1.0,,
37187,,2.0,
37192,1.0,,
37196,1.0,,
37197,4.0,,
37199,,4.0,
37204,3.0,,1.0
37213,1.0,,
37228,3.0,,
37229,1.0,,
37233,2.0,,
37280,1.0,,
37281,1.0,,
37282,2.0,,1.0
37284,2.0,,
37286,,,1.0
37292,1.0,,
37294,1.0,,
37302,1.0,,
37303,1.0,,
37305,1.0,,
37309,3.0,,
37313,2.0,,
37315,1.0,,
37322,1.0,,
37336,,1.0,
37340,2.0,,
37343,1.0,,
37346,1.0,,
37349,1.0,,
37350,1.0,,
37356,1.0,,
37358,1.0,,
37363,7.0,,
37381,1.0,,
37385,6.0,,
37386,,1.0,
37388,1.0,,
37390,1.0,1.0,
37403,2.0,,
37405,1.0,,
37417,1.0,,
37424,8.0,2.0,1.0
37443,1.0,,
37451,1.0,,
37457,7.0,4.0,
37463,1.0,,
37468,1.0,1.0,
37474,,1.0,
37475,4.0,,
37492,5.0,1.0,
37495,,,1.0
37497,1.0,1.0,1.0
37503,2.0,,
37513,1.0,1.0,
37515,1.0,,
37517,1.0,,
37519,2.0,1.0,
37520,,1.0,
37524,1.0,,
37532,2.0,,
37537,,1.0,
37542,1.0,,
37544,1.0,,
37545,2.0,,
37547,1.0,,
37548,1.0,,
37550,1.0,,
37557,1.0,,
37577,2.0,1.0,
37578,,1.0,
37586,1.0,,
37611,9.0,1.0,3.0
37618,1.0,,
37623,2.0,,
37629,1.0,,
37637,1.0,,
37640,,2.0,
37645,1.0,,1.0
37661,2.0,1.0,
37662,1.0,,
37663,,1.0,
37668,,1.0,
37670,,1.0,
37671,3.0,,
37678,1.0,,
37680,4.0,4.0,
37684,1.0,1.0,
37686,1.0,,
37691,1.0,,
37693,2.0,,2.0
37695,1.0,,
37697,,1.0,
37705,9.0,2.0,
37708,,1.0,1.0
37721,,1.0,
39356,1.0,,
41095,1.0,,
42235,,2.0,
42473,,1.0,
43256,3.0,,
49902,1.0,2.0,
50673,1.0,,
57695,,1.0,
61092,,1.0,
327687,8.0,1.0,
327692,1.0,,
327697,,,1.0
327706,1.0,,
327707,,1.0,
327714,2.0,,
327719,2.0,,
327723,1.0,,
327724,3.0,1.0,
327740,1.0,,
327741,,1.0,
327750,1.0,2.0,
327754,1.0,,
327761,1.0,,
327782,1.0,,
327792,1.0,,
327794,,1.0,
327795,1.0,,
327796,,,1.0
327798,,1.0,
327805,1.0,1.0,
327813,1.0,,
327814,1.0,1.0,
327817,1.0,1.0,
327821,1.0,,
327825,1.0,,
327828,1.0,,
327831,,1.0,
327844,,2.0,
327849,,1.0,
327859,,1.0,
327861,3.0,,
327864,1.0,,
327871,1.0,,
327872,,1.0,
327875,,1.0,
327879,1.0,,
327881,1.0,,
327900,,1.0,
327901,,1.0,
327931,1.0,,
327935,1.0,,
327941,1.0,,
327947,,1.0,
327987,,1.0,
328014,,1.0,
328019,1.0,,
328039,,1.0,
328049,1.0,,
328114,,,1.0
328137,1.0,5.0,1.0
328145,1.0,2.0,
328162,,1.0,
328215,,1.0,
328228,,,1.0
328262,1.0,,
328266,,1.0,
328282,1.0,,
328316,,1.0,
328330,1.0,,
328331,1.0,,
328365,,,1.0
328366,1.0,,
328453,2.0,3.0,1.0
328483,,1.0,
328487,,1.0,
