cc,Abandoned,Connected,Disconnected,Never Connected
AO,10.0,1.0,1.0,1.0
BF,12.0,5.0,1.0,4.0
BI,7.0,2.0,,
BJ,47.0,8.0,7.0,3.0
BW,2.0,4.0,,
CD,7.0,1.0,,3.0
CG,8.0,,,7.0
CI,13.0,,1.0,4.0
CM,16.0,5.0,4.0,8.0
CV,1.0,,,
DJ,1.0,1.0,1.0,1.0
DZ,28.0,2.0,,7.0
EG,18.0,3.0,1.0,
ET,11.0,3.0,4.0,1.0
GA,4.0,1.0,1.0,
GH,14.0,4.0,,4.0
GM,12.0,,,1.0
GQ,1.0,,,
KE,34.0,17.0,3.0,8.0
KM,2.0,,,
LR,7.0,,,3.0
LS,4.0,,,
LY,2.0,,,
MA,15.0,3.0,,3.0
MG,7.0,4.0,,
ML,1.0,,,
MR,4.0,,,
MU,15.0,5.0,5.0,1.0
MW,7.0,2.0,,2.0
MZ,7.0,6.0,,2.0
NE,9.0,,,
NG,23.0,1.0,4.0,7.0
RE,20.0,18.0,3.0,
RW,15.0,2.0,1.0,3.0
SC,18.0,1.0,,
SD,20.0,2.0,2.0,2.0
SH,1.0,,,
SL,2.0,,,
SN,13.0,5.0,,1.0
SO,2.0,,,3.0
SZ,3.0,,,
TD,4.0,,,1.0
TG,20.0,3.0,1.0,1.0
TN,37.0,5.0,2.0,6.0
TZ,23.0,9.0,1.0,4.0
UG,30.0,4.0,3.0,2.0
ZA,152.0,79.0,13.0,7.0
ZM,9.0,2.0,,1.0
ZW,17.0,,2.0,5.0
