Rank,asn_v4,AS_Name,CC,Users,country_pct,Internet_pct,Samples
1,"AS4134","CHINANET-BACKBONE No.31,Jin-rong Street","CN",313840394,42.36,9.0216,10541389
2,"AS55836","RELIANCEJIO-IN Reliance Jio Infocomm Limited","IN",176773827,37.19,5.0815,24749700
3,"AS4837","CHINA169-BACKBONE CHINA UNICOM China169 Backbone","CN",119269448,16.10,3.4285,4006067
4,"AS45609","BHARTI-MOBILITY-AS-AP Bharti Airtel Ltd. AS for GPRS Service","IN",65474205,13.77,1.8821,9166894
5,"AS9808","CMNET-GD Guangdong Mobile Communication Co.Ltd.","CN",53750768,7.25,1.5451,1805401
6,"AS7922","COMCAST-7922 - Comcast Cable Communications, LLC","US",49214510,16.92,1.4147,12399436
7,"AS4812","CHINANET-SH-AP China Telecom (Group)","CN",40749961,5.50,1.1714,1368725
8,"AS56040","CMNET-GUANGDONG-AP China Mobile communications corporation","CN",32596336,4.40,0.9370,1094858
9,"AS4808","CHINA169-BJ China Unicom Beijing Province Network","CN",30049771,4.06,0.8638,1009323
10,"AS8151","Uninet S.A. de C.V.","MX",28268310,47.47,0.8126,5721786
11,"AS38266","HUTCHVAS-AS Vodafone Essar Ltd., Telecommunication - Value Added Services","IN",27894605,5.87,0.8018,3905460
12,"AS29465","VCG-AS","NG",27576115,29.93,0.7927,503040
13,"AS22394","CELLCO - Cellco Partnership DBA Verizon Wireless","US",25450766,8.75,0.7316,6412238
14,"AS7018","ATT-INTERNET4 - ATT Services, Inc.","US",25442721,8.75,0.7314,6410211
15,"AS17676","GIGAINFRA Softbank BB Corp.","JP",24996322,21.61,0.7185,1512956
16,"AS3320","DTAG Internet service provider operations","DE",24503170,33.78,0.7044,1521504
17,"AS45271","ICLNET-AS-AP Idea Cellular Limited","IN",24091029,5.07,0.6925,3372930
18,"AS2516","KDDI KDDI CORPORATION","JP",23499440,20.32,0.6755,1422354
19,"AS28573","CLARO S.A.","BR",23433478,16.64,0.6736,2263400
20,"AS36873","VNL1-AS","NG",23284889,25.27,0.6693,424760
21,"AS9829","BSNL-NIB National Internet Backbone","IN",21711139,4.57,0.6241,3039727
22,"AS20057","ATT-MOBILITY-LLC-AS20057 - ATT Mobility LLC","US",19821601,6.82,0.5698,4993988
23,"AS21928","T-MOBILE-AS21928 - T-Mobile USA, Inc.","US",19320927,6.64,0.5554,4867845
24,"AS45899","VNPT-AS-VN VNPT Corp","VN",18862715,37.30,0.5422,2820443
25,"AS24560","AIRTELBROADBAND-AS-AP Bharti Airtel Ltd., Telemedia Services","IN",18624680,3.92,0.5354,2607599
26,"AS9299","IPG-AS-AP Philippine Long Distance Telephone Company","PH",18269307,38.97,0.5252,2119465
27,"AS3215","AS3215","FR",18049144,31.93,0.5188,2515836
28,"AS4766","KIXS-AS-KR Korea Telecom","KR",17557198,39.93,0.5047,1863598
29,"AS37148","globacom-as","NG",17231618,18.70,0.4953,314337
30,"AS12389","ROSTELECOM-AS","RU",16318768,15.90,0.4691,2301551
31,"AS4713","OCN NTT Communications Corporation","JP",15895860,13.74,0.4569,962131
32,"AS7552","VIETEL-AS-AP Viettel Group","VN",14952787,29.57,0.4298,2235812
33,"AS132199","GLOBE-MOBILE-5TH-GEN-AS Globe Telecom Inc.","PH",14385177,30.68,0.4135,1668858
34,"AS56046","CMNET-JIANGSU-AP China Mobile communications corporation","CN",13807038,1.86,0.3969,463756
35,"AS23693","TELKOMSEL-ASN-ID PT. Telekomunikasi Selular","ID",13634270,24.84,0.3919,3832377
36,"AS5607","BSKYB-BROADBAND-AS","GB",12704298,20.51,0.3652,1551239
37,"AS3352","TELEFONICADEESPANA","ES",12580187,32.96,0.3616,1276655
38,"AS45595","PKTELECOM-AS-PK Pakistan Telecom Company Limited","PK",12495024,34.44,0.3592,1596236
39,"AS44244","IRANCELL-AS","IR",12125303,29.99,0.3486,689823
40,"AS197207","MCCI-AS","IR",12113843,29.96,0.3482,689171
41,"AS20115","CHARTER-NET-HKY-NC - Charter Communications","US",11874005,4.08,0.3413,2991617
42,"AS8048","CANTV Servicios, Venezuela","VE",11803432,62.34,0.3393,788292
43,"AS36903","MT-MPLS","MA",11655421,55.36,0.3350,1337415
44,"AS4755","TATACOMM-AS TATA Communications formerly VSNL is Leading ISP","IN",11539256,2.43,0.3317,1615585
45,"AS5089","NTL","GB",11490844,18.55,0.3303,1403072
46,"AS47331","TTNET","TR",11487079,23.91,0.3302,4787750
