,asn_v4,Abandoned,Connected,Disconnected,network_type
0,766,1.0,0.0,0.0,Educational/Research
1,1273,1.0,0.0,0.0,NSP
2,2018,8.0,3.0,1.0,Educational/Research
3,2470,1.0,1.0,0.0,Educational/Research
4,2561,1.0,0.0,0.0,Not Disclosed
5,2609,12.0,2.0,0.0,NSP
6,3208,2.0,2.0,0.0,Unknown
7,3215,6.0,3.0,0.0,Cable/DSL/ISP
8,3333,6.0,0.0,0.0,Non-Profit
9,3491,7.0,3.0,1.0,NSP
10,3741,11.0,4.0,3.0,NSP
11,5438,1.0,0.0,0.0,Not Disclosed
12,5580,1.0,0.0,0.0,NSP
13,5713,3.0,0.0,0.0,NSP
14,6083,1.0,0.0,0.0,Cable/DSL/ISP
15,6453,1.0,0.0,0.0,NSP
16,6713,1.0,0.0,0.0,Not Disclosed
17,6830,1.0,0.0,0.0,Cable/DSL/ISP
18,7420,0.0,1.0,0.0,Unknown
19,7489,0.0,1.0,0.0,Content
20,7922,1.0,0.0,0.0,Cable/DSL/ISP
21,8094,4.0,0.0,0.0,Unknown
22,8346,12.0,5.0,0.0,Cable/DSL/ISP
23,8452,8.0,2.0,1.0,NSP
24,8513,1.0,0.0,0.0,NSP
25,10474,8.0,2.0,0.0,Cable/DSL/ISP
26,11259,1.0,0.0,0.0,Not Disclosed
27,11845,7.0,3.0,0.0,Cable/DSL/ISP
28,12455,1.0,1.0,0.0,NSP
29,12556,0.0,2.0,0.0,NSP
30,12684,1.0,0.0,0.0,Cable/DSL/ISP
31,13335,0.0,1.0,0.0,Content
32,14988,1.0,3.0,0.0,Not Disclosed
33,15022,1.0,1.0,0.0,Cable/DSL/ISP
34,15399,4.0,2.0,1.0,Cable/DSL/ISP
35,15706,1.0,0.0,1.0,Not Disclosed
36,15808,1.0,0.0,0.0,NSP
37,15964,7.0,4.0,2.0,Not Disclosed
38,16058,1.0,0.0,0.0,Not Disclosed
39,16276,1.0,0.0,0.0,Content
40,16509,0.0,1.0,0.0,Enterprise
41,16637,3.0,0.0,0.0,NSP
42,18931,2.0,0.0,0.0,Cable/DSL/ISP
43,19711,1.0,0.0,0.0,Cable/DSL/ISP
44,20294,2.0,0.0,0.0,Unknown
45,21042,1.0,1.0,0.0,Cable/DSL/ISP
46,21174,2.0,0.0,0.0,Unknown
47,21351,4.0,2.0,0.0,Cable/DSL/ISP
48,21491,1.0,0.0,0.0,Unknown
49,22355,3.0,1.0,0.0,Cable/DSL/ISP
50,22690,1.0,0.0,0.0,Unknown
51,23889,8.0,2.0,3.0,NSP
52,24691,14.0,2.0,1.0,
53,24757,11.0,3.0,3.0,Cable/DSL/ISP
54,24835,2.0,1.0,0.0,Not Disclosed
55,24863,1.0,0.0,0.0,NSP
56,25139,1.0,0.0,0.0,Cable/DSL/ISP
57,25250,2.0,0.0,0.0,Unknown
58,25543,4.0,0.0,1.0,Unknown
59,26130,1.0,0.0,0.0,Unknown
60,28683,20.0,2.0,1.0,Cable/DSL/ISP
61,29032,2.0,1.0,3.0,Not Disclosed
62,29465,2.0,0.0,0.0,NSP
63,29544,1.0,0.0,0.0,Unknown
64,29571,4.0,0.0,1.0,Cable/DSL/ISP
65,29614,3.0,0.0,0.0,Not Disclosed
66,29975,1.0,0.0,0.0,Unknown
67,30619,0.0,1.0,0.0,Cable/DSL/ISP
68,30844,7.0,3.0,0.0,NSP
69,30969,4.0,0.0,0.0,Unknown
70,30982,3.0,0.0,0.0,Not Disclosed
71,30983,1.0,1.0,0.0,Not Disclosed
72,30988,2.0,0.0,0.0,NSP
73,30990,1.0,0.0,1.0,NSP
74,30992,1.0,0.0,1.0,Cable/DSL/ISP
75,30997,1.0,1.0,0.0,Route Server
76,30999,2.0,1.0,0.0,Cable/DSL/ISP
77,31245,1.0,0.0,0.0,Unknown
78,31856,1.0,0.0,0.0,Cable/DSL/ISP
79,31960,1.0,0.0,0.0,Educational/Research
80,32437,2.0,1.0,0.0,Cable/DSL/ISP
81,32653,4.0,1.0,0.0,Cable/DSL/ISP
82,32860,1.0,0.0,0.0,Not Disclosed
83,33567,2.0,0.0,0.0,Unknown
84,33762,2.0,0.0,0.0,Cable/DSL/ISP
85,33763,2.0,1.0,0.0,NSP
86,33771,3.0,1.0,0.0,NSP
87,33772,1.0,0.0,0.0,Cable/DSL/ISP
88,33788,4.0,2.0,0.0,Not Disclosed
89,36692,0.0,1.0,0.0,Content
90,36866,2.0,1.0,1.0,NSP
91,36867,4.0,0.0,0.0,Unknown
92,36868,1.0,1.0,1.0,Cable/DSL/ISP
93,36874,4.0,5.0,0.0,Cable/DSL/ISP
94,36877,1.0,0.0,0.0,Unknown
95,36884,1.0,0.0,0.0,Not Disclosed
96,36890,1.0,0.0,0.0,Unknown
97,36902,0.0,1.0,0.0,Cable/DSL/ISP
98,36903,9.0,2.0,0.0,Unknown
99,36907,3.0,0.0,0.0,Cable/DSL/ISP
100,36909,1.0,1.0,0.0,Cable/DSL/ISP
101,36912,1.0,0.0,0.0,Unknown
102,36914,9.0,3.0,0.0,Not Disclosed
103,36924,2.0,1.0,1.0,Cable/DSL/ISP
104,36928,1.0,0.0,0.0,Unknown
105,36930,1.0,0.0,0.0,NSP
106,36932,2.0,0.0,0.0,Route Server
107,36934,1.0,0.0,0.0,Unknown
108,36937,3.0,1.0,0.0,NSP
109,36939,1.0,0.0,0.0,Unknown
110,36947,23.0,0.0,0.0,NSP
111,36953,1.0,0.0,0.0,Cable/DSL/ISP
112,36955,1.0,0.0,1.0,Unknown
113,36958,5.0,0.0,0.0,Cable/DSL/ISP
114,36961,1.0,0.0,0.0,Not Disclosed
115,36965,1.0,0.0,0.0,Not Disclosed
116,36972,1.0,0.0,0.0,Unknown
117,36982,1.0,1.0,0.0,Unknown
118,36986,1.0,0.0,0.0,Cable/DSL/ISP
119,36992,1.0,0.0,0.0,NSP
120,36994,1.0,0.0,0.0,NSP
121,36996,5.0,0.0,0.0,Unknown
122,36997,3.0,0.0,0.0,Cable/DSL/ISP
123,36998,5.0,0.0,1.0,Enterprise
124,37002,6.0,10.0,1.0,Cable/DSL/ISP
125,37004,1.0,0.0,0.0,Unknown
126,37006,2.0,0.0,0.0,Unknown
127,37008,0.0,1.0,0.0,Cable/DSL/ISP
128,37009,1.0,1.0,0.0,Cable/DSL/ISP
129,37010,1.0,0.0,0.0,Unknown
130,37020,1.0,0.0,0.0,Not Disclosed
131,37034,1.0,0.0,0.0,Cable/DSL/ISP
132,37037,1.0,0.0,0.0,Cable/DSL/ISP
133,37043,1.0,0.0,0.0,Unknown
134,37045,2.0,0.0,0.0,Unknown
135,37053,1.0,0.0,0.0,NSP
136,37054,2.0,3.0,0.0,Cable/DSL/ISP
137,37057,1.0,0.0,0.0,Unknown
138,37061,0.0,1.0,0.0,Unknown
139,37063,3.0,0.0,0.0,NSP
140,37074,0.0,1.0,0.0,Unknown
141,37084,1.0,1.0,1.0,Cable/DSL/ISP
142,37090,10.0,3.0,4.0,Cable/DSL/ISP
143,37094,1.0,0.0,0.0,Unknown
144,37098,4.0,0.0,0.0,Cable/DSL/ISP
145,37100,11.0,3.0,0.0,NSP
146,37101,1.0,0.0,0.0,Unknown
